,,,,,,,,,,,,,,
,13,Waltz,G,,,,,,,,,,,
,1,1,12,小嶋　みなと,盛田　めぐみ,神奈川県,0.000,.000,.000,.000,.000,0,,
,2,1,14,菅原　一樹,Laura　Collavizza,東京都,0.000,.000,.000,.000,.000,0,,
,2,1,34,五月女　光政,五月女　叡佳,ブルボンＤＳＴ,0.000,.000,.000,.000,.000,0,,
,1,1,38,大西　大晶,大西　咲菜,東洋大学/富山県,0.000,.000,.000,.000,.000,0,,
,2,1,39,日比野　湧,和野　歩未,ブルボンＤＳＴ,0.000,.000,.000,.000,.000,0,,
,2,1,47,吉田　逸平,馬場　えりな,慶應義塾大学,0.000,.000,.000,.000,.000,0,,
,2,1,52,石垣　和宏,三喜　穂菜美,ブルボンＤＳＴ,0.000,.000,.000,.000,.000,0,,
,2,1,53,佐藤　祐馬,久保田　理沙,東京都,0.000,.000,.000,.000,.000,0,,
,1,1,59,熊谷　光晃,粕尾　明日香,東京都,0.000,.000,.000,.000,.000,0,,
,2,1,74,山田　恭平,秋山　彩織,東京都,0.000,.000,.000,.000,.000,0,,
,1,1,75,岩﨑　将之,冨岡　采花,神奈川県,0.000,.000,.000,.000,.000,0,,
,1,1,80,棚橋　健,盛田　舞香,東京都,0.000,.000,.000,.000,.000,0,,
,1,1,81,藤森　春樹,金山　咲月,東京都,0.000,.000,.000,.000,.000,0,,
