競技番号,枝番,種目順,ヒート番号,ステータス,採点終了時刻
001,00,1,1,全審判送信済み,
001,00,1,2,全審判送信済み,
001,00,2,1,全審判送信済み,
001,00,2,2,全審判送信済み,
001,00,3,1,全審判送信済み,
001,00,3,2,全審判送信済み,
001,00,4,1,全審判送信済み,
001,00,4,2,全審判送信済み,
001,00,5,1,全審判送信済み,
001,00,5,2,全審判送信済み,
002,00,1,1,全審判送信済み,
002,00,1,2,全審判送信済み,
002,00,1,3,全審判送信済み,
002,00,1,4,全審判送信済み,
002,00,1,5,全審判送信済み,
002,00,1,6,全審判送信済み,
002,00,2,1,全審判送信済み,
002,00,3,1,全審判送信済み,
002,00,4,1,全審判送信済み,
002,00,4,2,全審判送信済み,
002,00,4,3,全審判送信済み,
002,00,4,4,全審判送信済み,
002,00,4,5,全審判送信済み,
002,00,4,6,全審判送信済み,
002,00,5,1,全審判送信済み,
