,,,,,,,,,,,,,,
,13,Waltz,G,,,,,,,,,,,
,1,1,12,小嶋　みなと,盛田　めぐみ,神奈川県,28.700,7.200,7.150,7.200,7.150,0,,
,2,2,14,菅原　一樹,Laura　Collavizza,東京都,27.800,6.950,6.950,6.950,6.950,0,,
,1,3,38,大西　大晶,大西　咲菜,東洋大学/富山県,27.600,7.000,6.800,7.000,6.800,0,,
,2,4,34,五月女　光政,五月女　叡佳,ブルボンＤＳＴ,26.700,6.850,6.500,6.850,6.500,0,,
,2,5,74,山田　恭平,秋山　彩織,東京都,26.400,6.650,6.550,6.650,6.550,0,,
,1,6,80,棚橋　健,盛田　舞香,東京都,26.300,6.650,6.500,6.650,6.500,0,,
,2,7,52,石垣　和宏,三喜　穂菜美,ブルボンＤＳＴ,25.400,6.450,6.250,6.450,6.250,0,,
,2,8,39,日比野　湧,和野　歩未,ブルボンＤＳＴ,25.300,6.500,6.150,6.500,6.150,0,,
,2,9,47,吉田　逸平,馬場　えりな,慶應義塾大学,24.600,6.200,6.100,6.200,6.100,0,,
,2,9,53,佐藤　祐馬,久保田　理沙,東京都,24.600,6.250,6.050,6.250,6.050,0,,
,1,11,59,熊谷　光晃,粕尾　明日香,東京都,24.200,6.000,6.100,6.000,6.100,0,,
,1,11,81,藤森　春樹,金山　咲月,東京都,24.200,6.200,5.900,6.200,5.900,0,,
,1,13,75,岩﨑　将之,冨岡　采花,神奈川県,23.800,6.200,5.700,6.200,5.700,0,,
