,,,,,,,,,,,,,,
,13,Tango,G,,,,,,,,,,,
,2,1,12,小嶋　みなと,盛田　めぐみ,神奈川県,28.300,7.150,7.000,7.150,7.000,0,,
,2,2,38,大西　大晶,大西　咲菜,東洋大学/富山県,28.000,7.050,6.950,7.050,6.950,0,,
,1,3,14,菅原　一樹,Laura　Collavizza,東京都,27.400,6.800,6.900,6.800,6.900,0,,
,1,4,80,棚橋　健,盛田　舞香,東京都,26.700,6.500,6.850,6.500,6.850,0,,
,1,5,34,五月女　光政,五月女　叡佳,ブルボンＤＳＴ,26.200,6.700,6.400,6.700,6.400,0,,
,2,6,74,山田　恭平,秋山　彩織,東京都,25.800,6.450,6.450,6.450,6.450,0,,
,1,7,39,日比野　湧,和野　歩未,ブルボンＤＳＴ,24.900,6.200,6.250,6.200,6.250,0,,
,2,8,52,石垣　和宏,三喜　穂菜美,ブルボンＤＳＴ,24.800,6.350,6.050,6.350,6.050,0,,
,2,9,53,佐藤　祐馬,久保田　理沙,東京都,24.300,6.250,5.900,6.250,5.900,0,,
,1,10,59,熊谷　光晃,粕尾　明日香,東京都,24.100,6.200,5.850,6.200,5.850,0,,
,1,11,47,吉田　逸平,馬場　えりな,慶應義塾大学,24.100,5.850,6.200,5.850,6.200,0,,
,2,12,81,藤森　春樹,金山　咲月,東京都,24.000,5.950,6.050,5.950,6.050,0,,
,2,13,75,岩﨑　将之,冨岡　采花,神奈川県,23.700,6.150,5.700,6.150,5.700,0,,
