,,,,,,,,,,,,,,
,13,Viennese Waltz,G,,,,,,,,,,,
,2,1,12,小嶋　みなと,盛田　めぐみ,神奈川県,28.100,7.050,7.000,7.050,7.000,0,,
,1,2,14,菅原　一樹,Laura　Collavizza,東京都,27.400,6.800,6.900,6.800,6.900,0,,
,2,3,38,大西　大晶,大西　咲菜,東洋大学/富山県,26.900,6.700,6.750,6.700,6.750,0,,
,2,4,34,五月女　光政,五月女　叡佳,ブルボンＤＳＴ,26.300,6.500,6.650,6.500,6.650,0,,
,1,5,74,山田　恭平,秋山　彩織,東京都,25.900,6.400,6.550,6.400,6.550,0,,
,1,6,80,棚橋　健,盛田　舞香,東京都,25.600,6.350,6.450,6.350,6.450,0,,
,2,7,39,日比野　湧,和野　歩未,ブルボンＤＳＴ,25.200,6.100,6.500,6.100,6.500,0,,
,1,8,52,石垣　和宏,三喜　穂菜美,ブルボンＤＳＴ,24.300,6.000,6.150,6.000,6.150,0,,
,1,9,81,藤森　春樹,金山　咲月,東京都,24.200,5.900,6.200,5.900,6.200,0,,
,2,10,47,吉田　逸平,馬場　えりな,慶應義塾大学,24.100,5.700,6.350,5.700,6.350,0,,
,1,11,53,佐藤　祐馬,久保田　理沙,東京都,23.800,5.900,6.000,5.900,6.000,0,,
,2,12,75,岩﨑　将之,冨岡　采花,神奈川県,23.200,5.700,5.900,5.700,5.900,0,,
,2,13,59,熊谷　光晃,粕尾　明日香,東京都,23.100,5.800,5.750,5.800,5.750,0,,
