,,,,,,,,,,,,
,13,W,T,V,F,Q,,,,,,
,1,12,小嶋　みなと,盛田　めぐみ,神奈川県,142,28.700,28.300,28.100,28.400,28.500,
,2,38,大西　大晶,大西　咲菜,東洋大学/富山県,137.3,27.600,28.000,26.900,27.200,27.600,
,3,14,菅原　一樹,Laura　Collavizza,東京都,136.8,27.800,27.400,27.400,27.300,26.900,
,4,80,棚橋　健,盛田　舞香,東京都,131,26.300,26.700,25.600,26.300,26.100,
,5,34,五月女　光政,五月女　叡佳,ブルボンＤＳＴ,130.9,26.700,26.200,26.300,26.000,25.700,
,6,74,山田　恭平,秋山　彩織,東京都,129.2,26.400,25.800,25.900,25.900,25.200,
,7,39,日比野　湧,和野　歩未,ブルボンＤＳＴ,125.5,25.300,24.900,25.200,25.200,24.900,
,8,52,石垣　和宏,三喜　穂菜美,ブルボンＤＳＴ,124.4,25.400,24.800,24.300,25.400,24.500,
,9,53,佐藤　祐馬,久保田　理沙,東京都,121.1,24.600,24.300,23.800,24.100,24.300,
,10,47,吉田　逸平,馬場　えりな,慶應義塾大学,120.7,24.600,24.100,24.100,23.800,24.100,
,10,81,藤森　春樹,金山　咲月,東京都,120.7,24.200,24.000,24.200,24.400,23.900,
,12,59,熊谷　光晃,粕尾　明日香,東京都,118.7,24.200,24.100,23.100,23.600,23.700,
,13,75,岩﨑　将之,冨岡　采花,神奈川県,118.3,23.800,23.700,23.200,24.200,23.400,
