開催日,競技会名,区分名,SL区分,ラウンド記号,種目記号,SG区分,背番号,リーダー名,パートナー名,ジャッジ番号,ジャッジ名,PCS名,ジャッジ点数,乖離度,乖離度絶対値,ジャッジ人数,選手PCS得点
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,1,Shen Yi,TQ,5.5,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,1,Shen Yi,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,1,Shen Yi,PS,6.5,0.8,1.23224568138196,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,1,Shen Yi,CP,0,0,0.0288683602771363,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,2,Eric Sourdeau,TQ,5.5,1,1,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,2,Eric Sourdeau,MM,0,0,0.0325706375702304,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,2,Eric Sourdeau,PS,6.25,0.941176470588235,1.08256880733945,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,2,Eric Sourdeau,CP,0,0,0.0288683602771363,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,3,Michael Eichert,TQ,0,0,0.032,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,3,Michael Eichert,MM,5.25,0.941176470588235,0.961538461538461,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,3,Michael Eichert,PS,0,0,0.0274706407526956,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,3,Michael Eichert,CP,5.5,1,0.917431192660551,10,2019/5/27
2019/5/27,Asia Dance Sports Games 2019,SingleDance Waltz,S,FF,W,S,2,Simone Segatori,Annette Sudol,4,Nick Fok,TQ,5.5,1,1,10,2019/5/27
